"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" "CCDC6" "ENST00000263102" "1" "535" "RET" "ENST00000355710" "2369" "5659"
"2" "TMPRSS2" "ENST00000332149" "1" "150" "ERG" "ENST00000442448" "530" "5034"
"3" "TMPRSS2" "ENST00000332149" "1" "79" "ERG" "ENST00000442448" "530" "5034"
"4" "TMPRSS2" "ENST00000332149" "1" "79" "ERG" "ENST00000442448" "312" "5034"
"5" "TMPRSS2" "ENST00000332149" "1" "79" "ERG" "ENST00000442448" "124" "5034"
"6" "TMPRSS2" "ENST00000332149" "1" "150" "ERG" "ENST00000442448" "124" "5034"
"7" "TMPRSS2" "ENST00000332149" "1" "373" "ERG" "ENST00000442448" "312" "5034"
"8" "TMPRSS2" "ENST00000332149" "1" "150" "ERG" "ENST00000442448" "312" "5034"
"9" "TMPRSS2" "ENST00000332149" "1" "580" "ERG" "ENST00000442448" "312" "5034"
"10" "TMPRSS2" "ENST00000332149" "1" "460" "ERG" "ENST00000442448" "530" "5034"
"11" "TMPRSS2" "ENST00000332149" "1" "460" "ERG" "ENST00000442448" "312" "5034"
"12" "TMPRSS2" "ENST00000332149" "1" "150" "ETV1" "ENST00000430479" "850" "6740"
"13" "TMPRSS2" "ENST00000332149" "1" "79" "ETV1" "ENST00000430479" "850" "6740"
"14" "TMPRSS2" "ENST00000332149" "1" "150" "ETV1" "ENST00000430479" "904" "6740"
"15" "TMPRSS2" "ENST00000332149" "1" "79" "ETV1" "ENST00000430479" "904" "6740"
"16" "TMPRSS2" "ENST00000332149" "1" "373" "ERG" "ENST00000442448" "124" "5034"
"17" "TMPRSS2" "ENST00000332149" "1" "79" "ERG" "ENST00000442448" "226" "5034"
"18" "TMPRSS2" "ENST00000332149" "1" "79" "ERG" "ENST00000442448" "682" "5034"
"19" "SS18" "ENST00000415083" "1" "1286" "SSX2" "NM_003147.4" "313" "1448"
